classNbr,subj,crs,courseTitle,sbc,cmp,sctn,credits,day,startTime,endTime,location,id,likes,avgGrade,semesters,past_instructors,recent_two_instructors,most_recent_instructor
",",WAE,194,Advanced Writing Academic Eng - Lindsay Dennison,NaN,LEC,,3,"MW, MW, TUTH/TUTH/TUTH/MW, MW","3:30 PM/10:30 AM/9:00 AM, 2:00 PM/10:30 AM/9:00 AM, 9:00 AM/10:30 AM/3:30 PM/9:00 AM, 2:00 PM/10:30 AM/9:00 AM/3:30 PM","4:50 PM/11:50 AM/10:20 AM, 3:20 PM/11:50 AM/10:20 AM, 10:20 AM/11:50 AM/4:50 PM/10:20 AM, 3:20 PM/11:50 AM/10:20 AM/4:50 PM","A117, A116, A116/A116/A116/B206, A116",,,,,,,
,MEC,499,Research in Mechanical Engnrng,NaN,TUT,,0 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
96315,MEC,536,Mechanics of Solids,NaN,LEC,90,3,MW,10:30 AM,11:50 AM,B618,,,,,,,
"54835, 52208",MEC,550,Mechatronics,NaN,LEC,90,3,"F, F","9:00 AM, 9:00 AM","11:50 AM, 11:50 AM","B105, A117",,,,,,,
56871,MEC,560,Advanced Control Systems,NaN,LEC,90,3,M,3:30 PM,6:20 PM,B314,,,,,,,
97201,MEC,564,Fundamentals of Aerodynamics,NaN,LEC,90,3,TUTH,3:30 PM,4:50 PM,A724,,,,,,,
,MEC,599,Research,NaN,TUT,,1 to 12,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"95524, ?, 92307, 52164",MEC,691,Mechanical Engineering Seminar,NaN,SEM,S90,NaN,"HTBA, HTBA, HTBA, HTBA","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"95538(95537), 92318(92317)",ESG,332,Materials Sci I: Struct & Prop,NaN,LEC(REC),90(R90),3,"TUTH(RECTU), TUTH(RECTU)","10:30 AM(9:30 AM), 10:30 AM(9:30 AM)","11:50 AM(10:25 AM), 11:50 AM(10:25 AM)","A704, A724",,,,,,,
96318(96319),HIS,101,Ancient Mesopotamia to Early Modern Europe,GLO; SBS,LEC(REC),90(R90),3,MW(RECW),9:00 AM(10:00 AM),9:55 AM(10:55 AM),C107,,,,,,,
56478,HIS,238,"Science, Technology, and Medicine in Western Civilization II",STAS,LEC,90,3,MW,9:00 AM,10:20 AM,C105,,,,,,,
"95545, 54802, 88837, 48446",MUS,105,Music Cultures of the World,ARTS,LEC,90,3,"TU, TU, TU, TU","9:30 AM, 9:30 AM, 9:30 AM, 9:30 AM","12:30 PM, 12:20 PM, 12:30 PM, 12:20 PM","C103, C103, C103, C107",,,,,,,
"95476, 56263, 88816, 56486",POL,102,Intro to American Government,SBS; USA,LEC,90,3,"MW, MW, MW, MW","2:00 PM, 2:00 PM, 2:00 PM, 2:00 PM","3:20 PM, 3:20 PM, 3:20 PM, 3:20 PM","C103, C103, C103, C105",,,,,,,
"95484(95485), 88824(88825), 48413(48412)",PHY,131,Classical Physics I,SNW,LEC(REC),90(R90),3,"TUTH(RECW), TUTH(RECW), TUTH(RECW), TUTH(RECW)","10:30 AM(9:30 AM), 10:30 AM(9:30 AM), 10:30 AM(9:30 AM), 10:30 AM(9:30 AM)","11:50 AM(10:25 AM), 11:50 AM(10:25 AM), 11:50 AM(10:25 AM), 11:50 AM(10:25 AM)","A211, A211, B105, A211",,,,,,,
"95480(95481), 88820(88821), 48414(48415)",PHY,132,Classical Physics II,SNW,LEC(REC),"90(R90), 91(R91), 90(R90), 91(R91)",3,"TUTH(RECW), TUTH(RECW), TUTH(RECW), TUTH(RECW)","9:00 AM(10:30 AM), 9:00 AM(10:30 AM), 9:00 AM(10:30 AM), 9:00 AM(10:30 AM)","10:20 AM(11:25 AM), 10:20 AM(11:25 AM), 10:20 AM(11:25 AM), 10:20 AM(11:25 AM)","A211(A114), A211(A114), B105, A211",,,,,,,
",",WRT,101,Introductory Writing Workshop - Adam White,Partially fulfills: WRT,LEC,,3,"TUTH, MW/TUTH","2:00 PM/3:30 PM, 2:00 PM/3:30 PM","3:20 PM/4:50 PM, 3:20 PM/4:50 PM","B206, B313",,,,,,,
,WRT,101,Introductory Writing Workshop - Jessamine Price,Partially fulfills: WRT,LEC,,3,"MW/TUTH/TUTH, TUTH","10:30 AM/2:00 PM/3:30 PM, 9:00 AM/2:00 PM/3:30 PM","11:50 AM/3:20 PM/4:50 PM, 10:20 AM/3:20 PM/4:50 PM","A116, B104",,,,,,,
,WRT,101,Introductory Writing Workshop - Terrence Oliga,Partially fulfills: WRT,LEC,,3,"TUTH, TUTH","9:00 AM/10:30 AM/2:00 PM, 10:30 AM/2:00 PM","10:20 AM/11:50 AM/3:20 PM, 11:50 AM/3:20 PM","A117, B104",,,,,,,
,WRT,102,Intermediate Writing Workshop - Jessamine Price,WRT,LEC,,3,TUTH,10:30 AM,11:50 AM,B104,,,,,,,
",",WAE,192,High Intermediate Writing - Yeji Seok,NaN,LEC,,3,"MW, TUTH, TUTH","10:30 AM/9:00 AM, 3:30 PM/9:00 AM, 3:30 PM/9:00 AM","11:50 AM/10:20 AM, 4:50 PM/10:20 AM, 4:50 PM/10:20 AM","B206, A117, A117",,,,,,,
",",WAE,192,High Intermediate Writing - Hyun-ju Kim,NaN,LEC,,3,"MW, MW, MW, MW","10:30 AM/2:00 PM/3:30 PM, 2:00 PM/3:30 PM, 2:00 PM/3:30 PM/9:00 AM, 2:00 PM/3:30 PM/10:30 AM","11:50 AM/3:20 PM/4:50 PM, 3:20 PM/4:50 PM, 3:20 PM/4:50 PM/10:20 AM, 3:20 PM/4:50 PM/11:50 AM","B104, B104, A117, A117/A117/A704",,,,,,,
,WAE,194,Advanced Writing Academic English - Andrew Lasher,NaN,LEC,,3,"MW, MW","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM","B206, A117",,,,,,,
56482,MEC,530,Applied Stress Analysis,NaN,LEC,90,3,MW,10:30 AM,11:50 AM,B618,,,,,,,
96979,MEC,539,Introduction to Finite Element Methods,NaN,LEC,90,3,MW,10:30 AM,11:50 AM,B618,,,,,,,
56814,MEC,559,Mobile Robotics and Autonomous Vehicles,NaN,LEC,90,3,MW,3:30 PM,4:50 PM,B104,,,,,,,
,MEC,699,Dissertation Resrch on Campus,NaN,TUT,,1 to 9,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"95544, ?, 54778, 93951, 53630",ATM,102,Weather and Climate,SNW,LEC,90,3,"F, F, F, F","12:30 PM, 12:30 PM, 12:30 PM, 12:30 PM","3:20 PM, 3:20 PM, 3:20 PM, 3:20 PM","C103, C103, C105, C105",,,,,,,
"96939, 56471",COM,120,Fundamentals of Public Speaking,SPK,LEC,90,3,"MW, MW","9:00 AM, 9:00 AM","10:20 AM, 10:20 AM","B103, B103",,,,,,,
"95482(95483)/95634(95633), 54596(54597), 88822(88823)/88857(88856), 48410(48411)",ECO,108,Introduction to Economics,SBS,LEC(REC),"90(R90)/91(R91), 90(R90), 90(R90)/91(R91), 90(R90)",4,"TUTH(RETU)/TUTH(RETH), TU(RETU), TU(RECTU)/TUTH(RECTU), TU(RECTU)","3:30 PM(2:00 PM)/10:30 AM(2:00 PM), 3:00 PM(2:00 PM), 3:00 PM(2:00 PM)/10:30 AM(12:00 PM), 3:00 PM(2:00 PM)","4:50 PM(2:55 PM)/11:50 AM(2:55 PM), 5:50 PM(2:55 PM), 5:50 PM(2:55 PM)/11:50 AM(12:55 PM), 5:50 PM(2:55 PM)","B207, C103, B203/C107, B103",,,,,,,
95536(95535),ESG,281,Engnrng Intro to Solid State,NaN,LEC(REC),90(R90),3,TUTH(RETU),9:00 AM(10:30 AM),10:20 AM(11:25 AM),B314,,,,,,,
"95681/96400, 54682/56244, 94105/94115, 54914/54205",FLM,102,Intro to Film and TV Composition,HUM,LEC,"91/92, 90/91, 91/92, 90/91",3,"F, F, F, F","9:30 AM/2:00 PM, 9:30 AM/1:00 PM, 2:00 PM/9:30 AM, 1:00 PM/9:30 AM","12:20 PM/4:50 PM, 12:20 PM/3:50 PM, 4:50 PM/12:20 PM, 3:50 PM/12:20 PM","C105, C105, C103, C103",,,,,,,
"95640, 54863, 88858, 48455",GEO,102,The Earth,SNW,LEC,90,3,"F, F, F, F","9:30 AM, 9:30 AM, 9:30 AM, 9:30 AM","12:20 PM, 12:20 PM, 12:20 PM, 12:20 PM","C103, C103, C105, C105",,,,,,,
"56220(56221), 49111(49112)",HIS,104,United States Since 1877,"DIV, SBS, USA",LEC(REC),90(R90),3,"TUTH(RETH), TUTH(RETH)","3:30 PM(12:30 PM), 3:30 PM(12:30 PM)","4:25 PM(1:25 PM), 4:25 PM(1:25 PM)","C105, C105",,,,,,,
"95663(95662), 54806(54805), 88860(88859), 48449(48448)",KOR,111,Elementary Korean I,Partially fulfills: LANG,LEC(REC),90(R90),4,"TUTH(RETU), TUTH(RETU), TUTH(RETU), TUTH(RETU)","9:00 AM(10:30 AM), 9:00 AM(10:30 AM), 9:00 AM(10:30 AM), 9:00 AM(10:30 AM)","10:20 AM(11:25 AM), 10:20 AM(11:25 AM), 10:20 AM(11:25 AM), 10:20 AM(11:25 AM)","A114, A724, A312, A724",,,,,,,
96945(96946),KOR,112,Elementary Korean II,Partially fulfills: LANG,LEC(REC),90(R90),4,TUTH(RETH),12:30 PM(1:50 PM),1:50 PM(12:25 PM),A312,,,,,,,
57075,KOR,211,Intermediate Korean I,"GLO, LANG",LEC,90,4,TUTH,12:30 PM,1:50 PM,A724,,,,,,,
"95589, 88844",MAT,200,"Logic, Language and Proof",STEM+,LEC,90,3,"MW, TUTH","2:00 PM, 9:00 AM","3:20 PM, 10:20 AM","B105, B207",,,,,,,
"97117, 56484",PHI,101,Historical Introduction to Western Philosophy,HUM,LEC,90,3,"TU, TU","12:30 PM, 12:30 PM","3:20 PM, 3:20 PM","C103, B105",,,,,,,
"95585(95586), 54833(54832), 93952(93953), 53632(53631)",SUS,206,Economics and Sustainability,SBS+,LEC(REC),90(R90),3,"TUTH(RETH), F(RECF), F(RECF), F(RECF)","12:30 PM(2:00 PM), 12:30 PM(2:25 PM), 12:30 PM(2:20 PM), 12:30 PM(2:20 PM)","1:25 PM(2:55 PM), 2:20 PM(3:20 PM), 2:20 PM(3:15 PM), 2:20 PM(3:15 PM)","A211, B204, B203, B203",,,,,,,
"95595, 54830, 88848/88849, 48452&48453",SOC/WST,247,Sociology of Gender,DIV; SBS,LEC,90,3,"F, F, F, F","3:00 PM, 3:00 PM, 12:00 PM, 12:00 PM","5:50 PM, 5:50 PM, 2:50 PM, 2:50 PM","C107, C107, C107, C107",,,,,,,
",",WRT,101,Introductory Writing Workshop - Elizabeth May,Partially fulfills: WRT,LEC,,3,"TUTH, TUTH","9:00 AM, 9:00 AM","10:20 AM, 10:20 AM","B206, B206",,,,,,,
